MaxReturn,NumTrajs,AverageReturn,AveragePolicyStd,LossBefore,MeanKL,ItrTime,MinReturn,Time,Entropy,ExplainedVariance,MaxKL,StdReturn,LossAfter,Perplexity
3000.0,200,2638.5,0.794071,-0.0042405,0.000512627,16.48613953590393,2300.0,548.8133203983307,2.37658,0.993906420675,0.00215018,122.750763745,-0.00512539,10.768
3000.0,200,2646.5,0.793228,-0.0196914,0.00421213,16.23730206489563,2200.0,565.4156806468964,2.37446,0.993657258534,0.0366947,134.490705999,-0.0218819,10.7452
3000.0,200,2652.5,0.789317,-0.0121456,0.000835182,16.04998278617859,2300.0,581.6794166564941,2.36462,0.994388856767,0.0041409,121.629560552,-0.013359,10.64
2900.0,200,2645.5,0.786954,-0.0205463,0.00949569,16.164224863052368,2300.0,598.0701174736023,2.35854,0.993429964164,0.0457834,133.715182384,-0.0240666,10.5756
2900.0,200,2686.0,0.782935,-0.0184796,0.000375083,16.184370756149292,2200.0,614.4884769916534,2.34827,0.994445628619,0.00108692,132.680066325,-0.0191779,10.4675
3000.0,200,2667.0,0.779286,-0.0213111,0.00110428,16.317682027816772,2000.0,631.0023515224457,2.33903,0.993111867932,0.00593802,144.606362239,-0.0229541,10.3712
2900.0,200,2649.0,0.775153,-0.0208604,0.00742363,16.53951668739319,2200.0,647.7450761795044,2.32838,0.993265351811,0.0468747,129.224610659,-0.0239784,10.2613
3000.0,200,2676.5,0.77116,-0.0106866,0.0182079,16.440038681030273,2100.0,664.3657848834991,2.31795,0.994778052119,0.0813503,129.991345866,-0.0146978,10.1548
3000.0,200,2668.5,0.769111,-0.0176166,0.00381445,16.42466711997986,2200.0,680.9899923801422,2.3126,0.993989027348,0.0172126,117.718944949,-0.0194162,10.1007
3000.0,200,2651.0,0.765761,-0.0177768,0.0217698,16.379729986190796,2200.0,697.5830707550049,2.30379,0.993941833136,0.0842651,137.109445335,-0.0231213,10.0121
3000.0,200,2671.0,0.762432,-0.00741557,0.00743944,16.479923963546753,2300.0,714.2643330097198,2.29491,0.994679411675,0.0343537,120.245582039,-0.011102,9.9235
2900.0,200,2666.0,0.760998,-0.0149068,0.00796765,16.579853057861328,2200.0,731.0429744720459,2.2912,0.994313598127,0.0331065,125.475097131,-0.0168875,9.88678
3000.0,200,2660.5,0.758131,-0.0142335,0.0244904,16.141453504562378,2100.0,747.497674703598,2.28374,0.993326808969,0.105476,136.344233468,-0.0198754,9.81336
2900.0,200,2670.0,0.755433,-0.00632493,0.0134927,16.240302801132202,2300.0,763.9504978656769,2.27663,0.994600203718,0.0547524,115.758369028,-0.00914928,9.74377
3000.0,200,2674.0,0.754263,-0.00557882,0.0157156,16.153961181640625,2300.0,780.2972702980042,2.27347,0.995207782805,0.11537,114.995652092,-0.010302,9.71301
2900.0,200,2668.5,0.753235,0.0077958,0.00802706,16.36520481109619,2400.0,796.8740789890289,2.27068,0.995325600235,0.0293962,107.971060938,0.00466628,9.68595
3000.0,200,2673.0,0.754701,-0.0178219,0.0018628,16.34570837020874,2200.0,813.4593155384064,2.27457,0.994309320197,0.0116587,118.198984767,-0.01883,9.72378
2900.0,200,2682.5,0.75133,-0.0183429,0.00103604,16.264482736587524,2400.0,829.9051451683044,2.26566,0.994778142283,0.008021,111.998883923,-0.0190031,9.63751
