1MinReturn,0ProcessExecTime,ItrTime,1Perplexity,1StdReturn,0Perplexity,1ExplainedVariance,1PolicyExecTime,ComputeUpdatedDistTime,0AverageReturn,0NumTrajs,0MinReturn,0Entropy,dLoss,1AverageReturn,1ProcessExecTime,0EnvExecTime,1EnvExecTime,0ExplainedVariance,1Entropy,1AveragePolicyStd,0StdReturn,0MaxReturn,MeanKLBefore,0PolicyExecTime,Time,0AveragePolicyStd,1MaxReturn,LossAfter,MeanKL,LossBefore,1NumTrajs
0.0,1.4015426635742188,215.41844058036804,11.3542,907.694594839,11.4695,0.157575971789,73.95235705375671,0.10909891128540039,303.85,2000,0.0,2.43969,0.00456328864675,497.65,1.3897254467010498,37.25752592086792,38.44088625907898,0.0647718515964,2.42959,0.815523,676.047466899,2900.0,-3.72529029846e-09,56.60136294364929,6159.3117961883545,0.819637,2900.0,-0.00456328783184,0.00697411922738,8.14907252789e-10,2000
0.0,1.389230728149414,212.42309761047363,11.1339,958.879490603,11.1473,0.175812269881,73.78053832054138,0.11798882484436035,323.95,2000,0.0,2.4112,0.00157949933782,550.35,1.410616397857666,36.95043325424194,39.04846811294556,0.0696057860651,2.40999,0.807626,696.729070371,2800.0,0.0,53.62784433364868,6376.326462268829,0.808076,3000.0,-0.00157950003631,0.00478337565437,-6.98491930962e-10,2000
0.0,1.4153921604156494,210.57880902290344,11.0214,916.034448042,11.0792,0.15133174795,71.36975717544556,0.13496661186218262,321.15,2000,0.0,2.40507,0.00266950002697,503.3,1.379040002822876,37.55580973625183,37.8650918006897,0.0631021615252,2.39984,0.803497,690.802198534,2700.0,3.72528985437e-09,54.667717695236206,6591.823006153107,0.80559,2900.0,-0.00266950158402,0.00850584264845,-1.55705492944e-09,2000
0.0,1.4044978618621826,214.71144199371338,11.1053,882.401405257,11.1493,0.141840465014,74.66241240501404,0.11336064338684082,343.4,2000,0.0,2.41138,0.00354923831037,457.6,1.3732690811157227,37.840264320373535,38.13421988487244,0.0727410260058,2.40742,0.806614,710.145365401,2800.0,-1.49011594175e-08,54.79528260231018,6810.891982078552,0.808202,3000.0,-0.00354923959821,0.0077440966852,-1.28784449771e-09,2000
0.0,1.4331870079040527,211.4296464920044,10.7812,897.594540982,10.7947,0.194659257105,74.67223405838013,0.11822843551635742,330.85,2000,0.0,2.37906,0.0034285314614,489.8,1.3976399898529053,37.37896394729614,38.08758616447449,0.0615649521109,2.3778,0.794565,705.339122338,2800.0,3.72529207482e-09,52.1056387424469,7027.770198345184,0.795065,2900.0,-0.00342853413895,0.00867948122323,-2.67755240202e-09,2000
0.0,1.399566888809204,211.2916135787964,10.3444,912.971761611,10.3621,0.141680439703,73.09387826919556,0.11254549026489258,329.05,2000,0.0,2.33815,0.00395268369903,514.75,1.3901846408843994,37.684282064437866,38.16969442367554,0.0679830265175,2.33644,0.778259,715.759105775,2900.0,3.72528985437e-09,53.32982850074768,7243.694875955582,0.778915,2900.0,-0.00395268341526,0.00974327232689,2.83762346953e-10,2000
0.0,1.4070649147033691,214.95286321640015,9.82505,925.436220115,9.86012,0.171219325071,76.4698760509491,0.1171717643737793,336.0,2000,0.0,2.2885,0.00305108277826,511.95,1.3990366458892822,37.60849571228027,38.693291425704956,0.0627977568424,2.28494,0.758532,723.632503416,2700.0,0.0,51.97248888015747,7463.16808795929,0.759904,2900.0,-0.00305108353496,0.00794757064432,-7.56699591875e-10,2000
0.0,1.3950634002685547,210.05088329315186,9.44942,978.017738847,9.48781,0.176333291608,75.25988578796387,0.12314486503601074,336.7,2000,0.0,2.25001,0.00290060322732,560.55,1.3712668418884277,37.348411321640015,38.429523229599,0.0690499017676,2.24595,0.743852,717.999380223,2800.0,0.0,49.493258476257324,7677.8587901592255,0.745361,3000.0,-0.00290060183033,0.00661774678156,1.39698386192e-09,2000
0.0,1.3957624435424805,212.70609831809998,8.85722,905.616673875,8.97029,0.13501765929,73.27918219566345,0.10715889930725098,350.7,2000,0.0,2.19392,0.00299153593369,506.2,1.3894987106323242,37.561163902282715,38.677653312683105,0.0632927626884,2.18123,0.720181,733.702603239,2700.0,7.45058059692e-09,53.98240303993225,7895.272694826126,0.724741,2900.0,-0.00299153709784,0.00657061394304,-1.16415321827e-09,2000
0.0,1.3069171905517578,183.72054243087769,8.75764,999.27182363,8.77258,0.18218900133,59.37724566459656,0.12879323959350586,347.0,2000,0.0,2.17163,0.00219947495498,583.85,1.2395362854003906,35.20534825325012,34.82783603668213,0.0727595095117,2.16993,0.716096,728.258882541,2700.0,0.0,45.8800847530365,8083.601244211197,0.71671,2900.0,-0.00219947611913,0.00677581876516,-1.16415321827e-09,2000
0.0,1.294226884841919,179.73707795143127,8.51837,977.440023735,8.55742,0.183490776855,59.206939458847046,0.10426616668701172,351.15,2000,0.0,2.1468,0.00153147120727,549.0,1.2559099197387695,34.68992519378662,34.819485902786255,0.0709087394189,2.14223,0.706227,737.569439104,2900.0,0.0,42.58420419692993,8268.041743040085,0.70784,2900.0,-0.00153147103265,0.00815242063254,1.7462298274e-10,2000
0.0,1.2664523124694824,179.36906170845032,8.56793,944.472000644,8.57901,0.157046661807,61.37292551994324,0.10902214050292969,354.8,2000,0.0,2.14932,0.00404043735762,529.2,1.2456614971160889,34.86430335044861,35.07780194282532,0.0658023284439,2.14803,0.708277,739.531581476,2800.0,0.0,39.3455228805542,8451.71527671814,0.708734,2900.0,-0.00404043868184,0.00918143242598,-1.32422428578e-09,2000
