1MaxReturn,LossBefore,1EnvExecTime,1AverageReturn,1ProcessExecTime,MeanKLBefore,0MinReturn,0ExplainedVariance,LossAfter,MeanKL,0PolicyExecTime,0StdReturn,0EnvExecTime,0AveragePolicyStd,0Perplexity,1ExplainedVariance,1AveragePolicyStd,0NumTrajs,dLoss,1StdReturn,0Entropy,ItrTime,0MaxReturn,1Entropy,ComputeUpdatedDistTime,Time,1PolicyExecTime,1NumTrajs,1Perplexity,1MinReturn,0ProcessExecTime,0AverageReturn
26300.0,-1.25801324913e-09,73.66245651245117,4496.25,1.9838824272155762,-3.81842468755e-09,0.0,0.0252804414209,-0.00372321531177,0.0068995305337,11.927333354949951,3295.37204842,44.253504276275635,0.963093,15.841,0.172368707146,0.963293,400,0.00372321405375,5872.37694103,2.7626,206.7068657875061,20000.0,2.76298,0.35483598709106445,4608.8635420799255,66.09606862068176,400,15.847,0.0,1.3089663982391357,1871.75
26500.0,-8.8766682893e-10,71.69447922706604,4161.0,1.8899016380310059,1.8626444831e-09,0.0,0.027397277678,-0.00404752977192,0.00963962357491,10.739525079727173,3484.19896641,38.038047552108765,0.961615,15.793,0.12896714108,0.962711,400,0.00404752888426,5052.01731984,2.75957,195.71199917793274,26300.0,2.7618,0.34699320793151855,4805.280675649643,64.97626066207886,400,15.8283,0.0,1.105710506439209,1715.25
26000.0,3.78349573893e-11,72.62193632125854,3494.0,1.921879529953003,-4.28408508668e-09,0.0,0.0289882731247,-0.00398006988689,0.00954628363252,10.80825161933899,3440.16438561,38.43415117263794,0.958912,15.7035,0.0594970242479,0.960239,400,0.00398006992473,4765.83822638,2.75388,197.720561504364,25600.0,2.75662,0.38695669174194336,5003.00829911232,65.41361713409424,400,15.7465,0.0,1.1167495250701904,1813.0
26800.0,-5.76255931861e-10,72.90083646774292,5393.5,1.9053964614868164,-7.45057182616e-10,0.0,0.026065612363,-0.00462281284854,0.00865709781647,11.4217369556427,2547.54194028,41.086026191711426,0.962678,15.8268,0.208809334478,0.962312,400,0.00462281227228,6488.23610467,2.76171,201.8705656528473,13400.0,2.76088,0.7237913608551025,5205.57972407341,65.63779807090759,400,15.8137,0.0,1.1928229331970215,1602.25
29700.0,1.7462298274e-10,72.40597987174988,4286.5,1.9224393367767334,2.14204187721e-09,0.0,0.0280217763237,-0.0043110055849,0.00888293422759,10.650708198547363,3531.45239243,37.035037994384766,0.96458,15.891,0.128823154922,0.964166,400,0.00431100575952,6132.04025998,2.76575,195.79624795913696,24200.0,2.76484,0.327669620513916,5401.386034488678,65.40238285064697,400,15.8765,0.0,1.077916145324707,1988.0
30600.0,2.85945156442e-10,73.65777397155762,6541.25,1.9899978637695312,4.47034986806e-09,0.0,0.0381854371934,-0.00411895755678,0.00833043642342,11.057283401489258,3460.05794749,39.588828325271606,0.965054,15.9066,0.170643180038,0.963366,400,0.00411895784273,7354.85713236,2.76673,200.81024289131165,19800.0,2.76318,0.3504016399383545,5602.89782500267,66.01102685928345,400,15.8501,0.0,1.2011420726776123,2257.0
28600.0,1.1466909644e-09,72.63982033729553,4393.25,1.9397432804107666,4.56348026034e-09,0.0,0.0400719446909,-0.00347183761187,0.00651798211038,11.727064609527588,3488.09045181,43.29038214683533,0.9659,15.9344,0.106618086193,0.96408,400,0.00347183875856,6067.65024021,2.76848,204.0080645084381,20700.0,2.76466,0.3753371238708496,5806.917921543121,65.65214967727661,400,15.8737,0.0,1.2479562759399414,2105.0
27200.0,9.1386032075e-10,75.42204165458679,4187.25,2.0529420375823975,5.5879240124e-10,0.0,0.0574332221911,-0.00400385027751,0.00892172846943,10.66014313697815,4503.18662172,37.000327348709106,0.972575,16.1554,0.0560254201209,0.9731,400,0.00400385119137,6456.85778359,2.78226,199.71267700195312,21100.0,2.78329,0.32502031326293945,6007.26362657547,66.24825525283813,400,16.1722,0.0,1.1133136749267578,2785.5
31500.0,8.81846151657e-10,75.56124377250671,5444.25,1.9842009544372559,-9.54605727799e-09,0.0,0.0299092570341,-0.00353894359432,0.00736342510208,10.859089612960815,3929.48723595,38.74482440948486,0.983276,16.5123,0.0677038869406,0.981219,400,0.00353894447617,7429.66129359,2.80411,202.05541515350342,23500.0,2.79987,0.34322547912597656,6209.324591159821,66.32897543907166,400,16.4424,0.0,1.144650936126709,2502.25
33200.0,7.79982634036e-10,72.45352602005005,7053.0,1.965468406677246,7.52043494145e-09,0.0,0.0418684195699,-0.00412295944989,0.00863362755626,11.479654788970947,4051.96384485,42.28052639961243,0.985334,16.5821,0.198871120488,0.986324,400,0.00412296022987,7817.78043949,2.80832,202.3808078765869,22100.0,2.8103,0.3697702884674072,6412.370042800903,65.534264087677,400,16.6149,0.0,1.2444074153900146,2367.0
35500.0,-8.7675294802e-10,73.4210216999054,7218.0,2.014298677444458,5.16883957857e-09,0.0,0.0231812469489,-0.00367637490854,0.00886883959174,10.688398599624634,3402.65705001,37.345680952072144,0.983527,16.5213,0.232901828341,0.982898,400,0.00367637403178,10152.2054747,2.80465,198.01932644844055,23400.0,2.8033,0.39192914962768555,6610.401371479034,66.08878016471863,400,16.4991,0.0,1.1271030902862549,1785.0
34500.0,-1.16415321827e-10,75.5392382144928,4668.25,1.993762731552124,1.30385191532e-09,0.0,0.0316835020118,-0.00424939487129,0.00870188418776,10.835114240646362,4617.05879728,38.70862340927124,0.981102,16.4399,0.127005913885,0.981919,400,0.00424939475488,6712.89557028,2.79971,202.17419910430908,23800.0,2.80134,0.3883664608001709,6813.22821688652,66.50559163093567,400,16.4667,0.0,1.18868088722229,2358.25
