0Perplexity,1AveragePolicyStd,Time,1Entropy,1MaxReturn,0Entropy,0NumTrajs,1StdReturn,MeanKLBefore,1ProcessExecTime,MeanKL,1PolicyExecTime,0AveragePolicyStd,1NumTrajs,0ProcessExecTime,dLoss,ComputeUpdatedDistTime,LossAfter,1MinReturn,1AverageReturn,0EnvExecTime,0MaxReturn,1Perplexity,0MinReturn,ItrTime,0AverageReturn,0StdReturn,0ExplainedVariance,1ExplainedVariance,0PolicyExecTime,LossBefore,1EnvExecTime
17.2944,1.00614,3125.5870134830475,2.85001,19800.0,2.85038,400,4029.8167995,-5.3260045263e-09,1.0260376930236816,0.00639363005757,33.193387031555176,1.00629,400,1.0736567974090576,0.00243251509964,0.32528233528137207,-0.00243251654319,0.0,2961.25,33.56747889518738,15300.0,17.288,0.0,116.41536712646484,1839.25,2888.01565742,0.0639943186523,0.110282184605,8.060550689697266,-1.44354994625e-09,34.36773157119751
17.1871,1.0057,3242.400394678116,2.84904,20100.0,2.84416,400,5258.21898912,2.46217668476e-09,1.019841194152832,0.00668096775189,33.111969232559204,1.0032,400,1.0908803939819336,0.00289903968223,0.2919936180114746,-0.00289903976955,0.0,4944.25,34.26943898200989,13800.0,17.2712,0.0,116.80417561531067,1895.25,2503.00867707,0.0744137007846,0.161671237039,8.035765886306763,-8.73115191258e-11,34.10695815086365
17.4491,1.01193,3358.099750995636,2.86123,19000.0,2.85929,400,5067.5239516,5.47151712826e-10,1.0638608932495117,0.00711942883208,31.79423999786377,1.01089,400,1.033966064453125,0.00280646596802,0.3279714584350586,-0.00280646816827,0.0,4701.0,33.5976996421814,17400.0,17.483,0.0,115.0203149318695,2818.75,3357.00363978,0.10198645304,0.119401966923,7.806589126586914,-2.20024976016e-09,34.41788148880005
17.5913,1.01524,3475.837074995041,2.86787,22000.0,2.8674,400,4742.27845423,5.78147574259e-09,1.039557695388794,0.0098275039345,33.79515504837036,1.01499,400,1.0814642906188965,0.00473462186055,0.32212257385253906,-0.00473462045193,0.0,4840.25,34.02009701728821,15400.0,17.5995,0.0,117.72809672355652,2793.5,3332.36518857,0.0751571755496,0.172287623828,7.967019557952881,1.40862521647e-09,34.70661759376526
17.5903,1.01544,3595.4247722625732,2.86828,20100.0,2.86735,400,4461.12087233,-6.28643304079e-10,1.1173326969146729,0.00706654507667,33.710793256759644,1.01488,400,1.0576739311218262,0.00337903089821,0.32793498039245605,-0.00337902968749,0.0,4386.75,33.786386013031006,13600.0,17.6067,0.0,118.86815738677979,1969.5,2758.24577404,0.0457299394519,0.0971856679885,7.901217937469482,1.21071941361e-09,36.07529616355896
17.5833,1.01499,3715.000880241394,2.86743,19500.0,2.86695,400,4796.35799331,4.06289846211e-09,1.0766141414642334,0.00695958733559,33.70887541770935,1.01468,400,1.0533010959625244,0.00350383172336,0.3135871887207031,-0.00350383087061,0.0,5430.0,34.52470517158508,14200.0,17.5917,0.0,119.5700752735138,2583.0,2808.15081504,0.0794553725025,0.162914052675,8.016921281814575,8.52742210178e-10,35.883928298950195
17.5386,1.01466,3827.9610981941223,2.86686,17200.0,2.8644,400,4076.91346946,-3.88827281483e-09,1.0959622859954834,0.0078838262707,33.43652272224426,1.01337,400,0.9322419166564941,0.00313709306793,0.3491332530975342,-0.0031370932702,0.0,2981.25,29.246795654296875,14200.0,17.5818,0.0,112.26112842559814,1423.25,2209.57788672,0.0444621010629,0.162004099227,6.555682420730591,-2.02271616123e-10,35.73279428482056
17.4126,1.00825,3927.1340157985687,2.85425,18900.0,2.85719,400,4922.21438354,-4.47034986806e-09,0.8625938892364502,0.00823417957872,25.809073448181152,1.00971,400,0.9415450096130371,0.00413218589965,0.3014562129974365,-0.00413218559697,0.0,6016.75,30.111734867095947,14700.0,17.3614,0.0,99.16819834709167,2230.0,2746.01529493,0.0614653708332,0.132733047072,7.98252272605896,3.02679825648e-10,28.462074995040894
17.5379,1.01436,4022.973608016968,2.86618,17800.0,2.86436,400,4454.2563633,-1.47847378784e-09,0.8518521785736084,0.0077337953262,23.421733379364014,1.0134,400,0.9218637943267822,0.00295198328095,0.2774317264556885,-0.00295198336244,0.0,3824.5,30.454896211624146,14200.0,17.5697,0.0,95.13798761367798,2092.75,3048.45410618,0.056428540846,0.159198656601,8.085386276245117,-8.1490661441e-11,26.315304279327393
17.4033,1.0094,4112.993180513382,2.85604,20200.0,2.85666,400,4656.51221409,1.23400378804e-09,0.8379006385803223,0.00802384130657,22.92189931869507,1.00959,400,0.9024620056152344,0.00386809246847,0.3162088394165039,-0.00386809301563,0.0,5162.0,27.24513530731201,10200.0,17.3926,0.0,90.01422119140625,1803.0,2226.4750167,0.0539038562222,0.229919360105,7.2355194091796875,-5.47152045893e-10,25.874452590942383
17.4554,1.01204,4206.715865135193,2.86154,19500.0,2.85965,400,4922.5249555,4.94764940129e-09,0.8143289089202881,0.00977458339185,23.93716597557068,1.01102,400,0.910048246383667,0.00367222922214,0.37582826614379883,-0.0036722291261,0.0,5978.25,28.221481561660767,18600.0,17.4884,0.0,92.98233580589294,3858.0,4159.44539572,0.0819546450125,0.142683148809,7.488595008850098,9.60426460583e-11,26.562665462493896
16.9891,0.998152,4294.486989021301,2.83404,17500.0,2.83257,400,4375.55365068,3.87663146029e-09,0.8590691089630127,0.00834158901125,22.714587926864624,0.997383,400,0.8552610874176025,0.00534117559364,0.3975534439086914,-0.00534117547795,0.0,4555.5,25.44093155860901,17600.0,17.014,0.0,87.76664113998413,2981.25,3898.51554281,0.0595673750946,0.161030969624,7.119360446929932,1.15687737168e-10,25.54367184638977
17.1975,1.00322,4383.967920303345,2.84417,18300.0,2.84476,400,4495.35020188,2.35158936768e-09,0.7798981666564941,0.00746861379594,23.20661163330078,1.00347,400,0.822188138961792,0.00338334729895,0.3371090888977051,-0.0033833461348,0.0,5561.25,25.559712409973145,18600.0,17.1873,0.0,88.73296785354614,2765.75,3616.3243684,0.0565243819178,0.145441465404,7.115324258804321,1.16415321827e-09,25.529839992523193
17.2688,1.00672,4473.488343954086,2.85101,19500.0,2.8489,400,5467.64249357,6.46105080548e-09,0.7885265350341797,0.00686864973977,23.14097023010254,1.00559,400,0.8755059242248535,0.00326009395503,0.31450581550598145,-0.00326009187847,0.0,5340.75,25.920867204666138,20000.0,17.3053,0.0,89.5154778957367,2286.25,3909.1157488,0.0389946141806,0.0969838834118,7.0872862339019775,2.07655848072e-09,25.185879707336426
16.8467,0.992806,4566.391892194748,2.8233,18000.0,2.82416,400,4226.24052794,-3.26544902229e-09,0.9011373519897461,0.00705261854455,25.573116302490234,0.993187,400,0.878485918045044,0.00473149989048,0.3493053913116455,-0.00473149865866,0.0,6629.0,26.70178723335266,16100.0,16.8322,0.0,92.12213158607483,3896.25,3846.5128282,0.09356167176,0.200538103723,6.28145956993103,1.23181975731e-09,26.646640062332153
16.8363,0.996966,4663.927448749542,2.83162,19300.0,2.82354,400,4942.9082975,-9.37726163386e-09,0.9042134284973145,0.0075033181347,27.798120260238647,0.992895,400,0.930295467376709,0.00307403231272,0.9847743511199951,-0.00307403272018,0.0,4847.25,26.988273859024048,18800.0,16.9729,0.0,97.53072595596313,3365.0,4632.72328118,0.0523787510262,0.110672008332,6.805941343307495,-4.0745365415e-10,27.804435968399048
16.6707,0.98957,4765.052785396576,2.81682,21000.0,2.81366,400,5437.77065993,8.07922795332e-09,0.9040217399597168,0.00719692884013,27.917457580566406,0.98797,400,0.9781582355499268,0.00358955707634,0.38337254524230957,-0.00358955794945,0.0,6174.5,27.598203897476196,17000.0,16.7236,0.0,100.29172921180725,3499.75,4077.8211017,0.0687287181433,0.154894351599,9.30053424835205,-8.73114913702e-10,27.88900876045227
16.5809,0.987976,4865.326425552368,2.81359,19600.0,2.80825,400,5562.55435367,-3.14321546568e-09,0.9281044006347656,0.00837907660753,28.856438636779785,0.985302,400,0.9264864921569824,0.0037641259456,0.3164985179901123,-0.00376412388869,0.0,7436.25,27.09833264350891,18000.0,16.6696,0.0,100.24486994743347,2378.75,3471.89767094,0.0407026563894,0.171883198724,9.240473508834839,2.05691330635e-09,27.77257800102234
