1NumTrajs,dLoss,ComputeUpdatedDistTime,0Perplexity,0AverageReturn,ItrTime,0EnvExecTime,0MaxReturn,1AveragePolicyStd,0Entropy,1AverageReturn,0ProcessExecTime,1StdReturn,Time,0NumTrajs,0StdReturn,1EnvExecTime,0ExplainedVariance,MeanKLBefore,1MaxReturn,LossBefore,MeanKL,1ExplainedVariance,0MinReturn,1ProcessExecTime,0AveragePolicyStd,1Perplexity,LossAfter,0PolicyExecTime,1MinReturn,1PolicyExecTime,1Entropy
1200,0.00719481369015,0.08522486686706543,14.4158,79.75,71.5559196472168,14.206850051879883,2000.0,0.917328,2.66832,491.75,0.6391446590423584,872.309351186,951.8879082202911,1200,295.039439454,13.714523077011108,0.0851440699879,-1.86264437207e-09,2800.0,-2.44472175837e-09,0.00804156530648,0.410007298784,0.0,0.6026003360748291,0.91899,14.3638,-0.00719481613487,14.52465271949768,0.0,24.77314519882202,2.66471
1200,0.00511042088328,0.10528182983398438,14.132,90.3333333333,72.3270320892334,14.438854455947876,1800.0,0.909875,2.64844,538.666666667,0.6517109870910645,896.39363873,1026.3081240653992,1200,299.899798081,13.868907928466797,0.089452256189,0.0,2900.0,1.52795109898e-09,0.00768271647394,0.398604695723,0.0,0.6043558120727539,0.910032,14.1261,-0.00511041935533,14.645946502685547,0.0,25.018155336380005,2.64803
1200,0.000407263229135,0.08020710945129395,13.8452,91.6666666667,71.45931887626648,14.07311463356018,1800.0,0.896877,2.62794,463.0,0.6417458057403564,841.257590357,1099.9116592407227,1200,307.214185147,13.513406753540039,0.0797619512613,0.0,2900.0,-3.0267983675e-09,0.00210819439963,0.382811773592,0.0,0.5914437770843506,0.900688,13.7293,-0.000407266255934,14.434339761734009,0.0,23.840497255325317,2.61954
1200,0.00586806201318,0.10349154472351074,13.5468,90.9166666667,70.70162153244019,14.04606008529663,2100.0,0.8901,2.60615,557.833333333,0.631645679473877,899.817743892,1172.6109907627106,1200,312.6646122,13.785654544830322,0.065505497816,2.42143691764e-08,2900.0,1.49884726852e-09,0.00725704757497,0.39253190218,0.0,0.6079721450805664,0.890824,13.5244,-0.00586806051433,14.348177194595337,0.0,24.17193031311035,2.60449
1200,0.00463912461419,0.09840726852416992,13.0157,88.5833333333,71.6020097732544,14.262409448623657,2200.0,0.873701,2.56616,604.75,0.6468009948730469,960.313718271,1246.2085139751434,1200,307.399836894,13.6802659034729,0.063978589797,-9.31322929887e-09,2800.0,3.84170562029e-09,0.00684345560148,0.409109759474,0.0,0.587792158126831,0.87348,13.0225,-0.00463912077248,15.420396089553833,0.0,23.837579250335693,2.56668
1200,0.0037284779828,0.0695333480834961,12.6548,96.0833333333,71.01404929161072,14.026283264160156,2300.0,0.860211,2.53804,534.583333333,0.6340899467468262,891.354209273,1319.1895289421082,1200,318.108461151,13.62440824508667,0.0754126821938,-3.9115533923e-08,2900.0,0.0,0.00616995012388,0.384825483213,0.0,0.5910394191741943,0.861103,12.6288,-0.0037284779828,15.211206197738647,0.0,23.94566059112549,2.53598
1200,0.00364356849968,0.08170413970947266,12.0656,106.416666667,71.48435521125793,14.054866790771484,2000.0,0.838644,2.49036,565.5,0.6416010856628418,959.154010921,1392.6409647464752,1200,334.415649139,13.736909866333008,0.077791516274,0.0,2900.0,1.75714376383e-09,0.00720416288823,0.379765049092,0.0,0.6042852401733398,0.840706,12.0067,-0.00364356674254,15.41282868385315,0.0,23.820940017700195,2.48547
1200,0.00529628235381,0.0981149673461914,11.9775,130.833333333,73.03729271888733,14.489213943481445,2100.0,0.834506,2.48303,617.75,0.6647462844848633,934.144851812,1467.423445224762,1200,375.676242114,13.80185866355896,0.0929509851806,-3.72528941028e-09,2900.0,8.14907252789e-10,0.00738197891042,0.407863486575,0.0,0.6163275241851807,0.837501,11.8908,-0.0052962815389,15.650159120559692,0.0,24.622647523880005,2.47577
1200,0.00365877035074,0.09106659889221191,11.5253,102.833333333,73.43941497802734,14.398807287216187,2200.0,0.820791,2.44455,622.166666667,0.6631197929382324,990.694355266,1543.4178783893585,1200,339.448531527,13.940958976745605,0.093642015923,-3.72528918824e-09,2900.0,9.31322574615e-10,0.00860725715756,0.439268175626,0.0,0.6222867965698242,0.821776,11.4963,-0.00365876941942,15.860601663589478,0.0,24.822086572647095,2.44203
1200,0.00498473929474,0.08199763298034668,11.3166,112.333333333,74.24676561355591,14.31327772140503,2300.0,0.813454,2.42627,734.25,0.6499817371368408,1060.12669251,1619.4554789066315,1200,351.256632994,13.985660791397095,0.082230438215,1.94289029309e-16,2900.0,5.23868948221e-10,0.00657382374629,0.447287746558,0.0,0.6210277080535889,0.814269,11.2956,-0.00498473877087,16.29502248764038,0.0,25.005566835403442,2.42441
1200,0.003691039572,0.07855343818664551,11.2164,131.25,74.68069386482239,14.293580532073975,2200.0,0.807064,2.41738,528.833333333,0.662177324295044,887.807395904,1695.8352296352386,1200,377.04788047,14.225472688674927,0.094627624775,-3.72528896619e-09,2900.0,7.56699591875e-10,0.0075644031167,0.340606090659,0.0,0.6276850700378418,0.810611,11.1192,-0.0036910388153,16.299821376800537,0.0,25.369366884231567,2.40867
1200,0.00503768240742,0.08528637886047363,10.8026,109.25,72.51912117004395,14.158173561096191,2300.0,0.792441,2.37979,616.166666667,0.6460587978363037,969.762155835,1770.4896762371063,1200,356.496055378,13.780840396881104,0.094425991214,-7.45057970875e-09,2900.0,2.76486389339e-10,0.00879437476397,0.383921565778,0.0,0.6092791557312012,0.795452,10.7209,-0.00503768213093,16.12916088104248,0.0,24.12873339653015,2.37219
1200,0.00601190107409,0.08215069770812988,10.432,113.833333333,72.39534783363342,13.712182521820068,2800.0,0.780918,2.34488,676.333333333,0.6294410228729248,1010.67958435,1844.7518391609192,1200,357.852817355,14.065974473953247,0.125860110272,-3.72528874415e-09,2900.0,5.82076609135e-10,0.00804885663092,0.451068060768,0.0,0.6152629852294922,0.78171,10.4109,-0.00601190049201,15.660943031311035,0.0,24.662540674209595,2.34285
1200,0.00387455202872,0.12761735916137695,10.9174,104.583333333,72.52859091758728,14.138107299804688,2000.0,0.798425,2.39036,646.5,0.6510088443756104,1038.96795748,1919.5064098834991,1200,337.69413141,13.708009481430054,0.0902387891063,2.60770249838e-08,2900.0,-8.73114913702e-10,0.00668379291892,0.468280717731,0.0,0.6079819202423096,0.799686,10.8821,-0.00387455290183,15.20990777015686,0.0,24.98566508293152,2.38712
1200,0.0020966763841,0.09813189506530762,10.5621,107.666666667,71.337961435318,13.825145959854126,1900.0,0.784406,2.35727,502.416666667,0.6303267478942871,890.048215766,1992.4187681674957,1200,328.924341182,13.766398191452026,0.0952225703323,0.0,2800.0,-3.49245965481e-10,0.00734681496397,0.396431563961,0.0,0.6124255657196045,0.786611,10.5039,-0.00209667673334,14.367929697036743,0.0,25.009986639022827,2.35175
1200,0.00331847218331,0.07845854759216309,10.3269,128.0,70.75758767127991,14.0022451877594,1900.0,0.776499,2.33476,660.5,0.6440141201019287,1052.97503136,2065.4321303367615,1200,366.923243563,13.576194286346436,0.0875014407605,0.0,2900.0,3.60887497663e-09,0.00937278289348,0.479960181056,0.0,0.5864486694335938,0.777732,10.2945,-0.00331846857443,14.446666240692139,0.0,24.40815258026123,2.33161
1200,0.00405073654838,0.33527588844299316,10.2281,115.666666667,76.26961350440979,14.103226661682129,2200.0,0.77348,2.32513,630.916666667,0.647972583770752,997.32266246,2143.747878551483,1200,357.357741704,15.662194728851318,0.0799160291241,2.60770249838e-08,2900.0,-1.62981450558e-09,0.00766479223967,0.424634033942,0.0,0.6825714111328125,0.773992,10.2143,-0.00405073817819,14.613199949264526,0.0,27.001887559890747,2.32379
1200,0.00365562969819,0.0881807804107666,9.90513,105.75,90.42029237747192,19.5738308429718,1900.0,0.761718,2.29305,629.25,0.859480619430542,1006.37274614,2235.890354156494,1200,346.302282455,17.538312435150146,0.09675297406,0.0,2900.0,-6.98491930962e-10,0.00890635885298,0.440204042624,0.0,0.7498111724853516,0.761656,9.90735,-0.00365563039668,20.04633402824402,0.0,28.354227781295776,2.29328
1200,0.00361676909961,0.08286261558532715,9.60384,110.666666667,93.65496063232422,18.5103759765625,2000.0,0.746722,2.26216,764.666666667,0.8268101215362549,1093.31371934,2331.6121542453766,1200,358.867973247,19.56323552131653,0.0971193984625,0.0,2900.0,2.09547579288e-09,0.00959733594209,0.455526496638,0.0,0.8213753700256348,0.75013,9.51689,-0.00361676700413,18.80410075187683,0.0,31.77623224258423,2.25307
1200,0.00424338685116,0.08405351638793945,9.24486,113.5,90.05043578147888,19.37250804901123,2500.0,0.734662,2.22407,738.833333333,0.852520227432251,1073.47968723,2423.5910019874573,1200,354.684484202,17.674033641815186,0.104828169814,0.0,2900.0,-5.23868948221e-10,0.0087918099016,0.4818741581,0.0,0.7503321170806885,0.735933,9.2134,-0.00424338737503,19.495811700820923,0.0,28.424074172973633,2.22066
1200,0.00245060096495,0.08340764045715332,9.23279,87.5833333333,89.20034217834473,18.24056077003479,2000.0,0.734993,2.22276,795.083333333,0.802931547164917,1080.00809861,2514.6386868953705,1200,306.32906009,18.061150074005127,0.0768044517561,0.0,2800.0,6.98491930962e-10,0.00548806134611,0.513304999926,0.0,0.7588043212890625,0.735411,9.22259,-0.00245060026646,18.6952486038208,0.0,29.339638471603394,2.22166
1200,0.00346195092425,0.08174443244934082,9.1943,85.5833333333,89.60388398170471,18.44844937324524,2400.0,0.732556,2.21858,760.666666667,0.8175311088562012,1061.75305771,2605.815731525421,1200,308.167421578,18.190930366516113,0.100544781596,-2.23517311326e-08,2900.0,-1.62981450558e-09,0.00683182990178,0.47492674701,0.0,0.7638332843780518,0.733806,9.16346,-0.00346195255406,18.70694875717163,0.0,29.28846263885498,2.21522
