0AverageReturn,1AverageReturn,MeanKL,0AveragePolicyStd,0ExplainedVariance,1MaxReturn,0Entropy,1AveragePolicyStd,0MaxReturn,Time,1Entropy,ItrTime,0ProcessExecTime,0NumTrajs,LossAfter,0EnvExecTime,1NumTrajs,1Perplexity,0MinReturn,0PolicyExecTime,0StdReturn,0Perplexity,1EnvExecTime,MeanKLBefore,dLoss,1PolicyExecTime,LossBefore,ComputeUpdatedDistTime,1ProcessExecTime,1MinReturn,1ExplainedVariance,1StdReturn
491.75,955.25,0.00656681414694,0.983834,0.153461993075,5100.0,2.80336,0.977173,2700.0,864.2854895591736,2.78961,66.26456046104431,0.3688480854034424,400,-0.00804728735238,23.318788051605225,400,16.2747,0.0,2.7408227920532227,441.935444946,16.5,23.93488097190857,6.14672712729e-09,0.00804728984076,11.78845500946045,2.48837750405e-09,0.36911821365356445,0.3075110912322998,0.0,0.168644324754,999.010729422
510.75,701.5,0.00681912433356,0.974365,0.181688124476,3600.0,2.7837,0.970455,2500.0,930.1271433830261,2.77574,64.99193859100342,0.367114782333374,400,-0.00916207768023,23.266172647476196,400,16.0504,0.0,3.0911865234375,397.000551007,16.1788,23.854135751724243,2.51457143996e-09,0.00916207824048,10.905755281448364,5.60248736292e-10,0.292464017868042,0.3129911422729492,0.0,0.169256791303,604.315935583
560.0,968.75,0.00997220911086,0.971164,0.157601783735,4200.0,2.77672,0.966864,3100.0,994.4845876693726,2.76735,64.34978246688843,0.35111546516418457,400,-0.0117188161239,22.81063485145569,400,15.9164,0.0,2.5493972301483154,475.131560728,16.0663,23.78804898262024,7.17118142646e-09,0.0117188142613,11.100064277648926,-1.86264514923e-09,0.3768470287322998,0.31555628776550293,0.0,0.193469634288,847.436391418
683.0,1046.5,0.00748397689313,0.965712,0.180915668531,4600.0,2.76592,0.964589,3200.0,1064.15726852417,2.76372,68.95912146568298,0.35034942626953125,400,-0.00755108753219,23.38739275932312,400,15.8587,0.0,2.864396333694458,516.19860519,15.8936,25.455193758010864,6.05360095385e-10,0.00755108682497,12.275453567504883,-7.07223113405e-10,0.34209132194519043,0.3466188907623291,0.0,0.198813715756,922.110486872
629.0,820.75,0.00662878761068,0.968506,0.187208289258,4900.0,2.77174,0.965967,3500.0,1133.0848009586334,2.76613,68.91982650756836,0.36337828636169434,400,-0.00766797177494,23.939722776412964,400,15.897,0.0,3.1360695362091064,467.770242747,15.9864,24.89639925956726,1.54832036081e-09,0.00766797343385,12.567441463470459,1.65891833603e-09,0.3601253032684326,0.32447171211242676,0.0,0.2035483237,658.972258521
664.75,1114.75,0.00671178940684,0.964196,0.20569194848,7400.0,2.76296,0.961207,2900.0,1208.5871288776398,2.75676,74.64027047157288,0.3715641498565674,400,-0.00954935885966,24.647544860839844,400,15.7487,0.0,3.659213066101074,486.191770292,15.8467,26.33174228668213,8.11414846424e-09,0.00954935898772,13.86195969581604,1.28056898419e-10,1.011836051940918,0.3620436191558838,0.0,0.180938450198,1227.88738796
732.75,1407.25,0.00695924740285,0.955742,0.204541146503,5200.0,2.74552,0.954885,2700.0,1283.2120351791382,2.7433,74.61800503730774,0.3690476417541504,400,-0.00902480073273,25.003039836883545,400,15.5382,0.0,3.910403251647949,517.641224691,15.5727,26.29744601249695,-1.16414378137e-11,0.00902479876531,14.291966438293457,-1.96741889447e-09,0.37412285804748535,0.36238551139831543,0.0,0.253050642112,990.339556667
700.25,1365.25,0.00694103585556,0.94374,0.16072988408,5000.0,2.71956,0.939982,3500.0,1361.4799904823303,2.712,77.41069984436035,0.39818739891052246,400,-0.00918322522193,25.689538717269897,400,15.0594,0.0,3.867635726928711,598.811270352,15.1736,27.263474941253662,-1.9790586947e-09,0.00918322468642,15.085071802139282,-5.35510413791e-10,0.4128272533416748,0.3502376079559326,0.0,0.290710421212,991.85051167
723.75,1720.5,0.00704647926614,0.938694,0.155743469137,7500.0,2.70882,0.935842,3200.0,1437.1615824699402,2.70258,75.65338373184204,0.39655137062072754,400,-0.0104144699872,26.126959800720215,400,14.9181,0.0,3.7969303131103516,596.247379449,15.0115,26.47142004966736,-7.45057959772e-10,0.0104144671699,14.009284973144531,-2.81725087703e-09,0.37104296684265137,0.33528637886047363,0.0,0.282606445708,1792.33918386
743.5,1546.75,0.00811312999576,0.930262,0.139346241394,7700.0,2.69144,0.928802,3600.0,1512.4340600967407,2.68764,74.44790053367615,0.4004969596862793,400,-0.00371670536697,25.232805252075195,400,14.6969,0.0,3.71427583694458,659.778561337,14.7529,26.113037586212158,1.44354928011e-09,0.00371670324821,13.726918935775757,-2.11875894607e-09,0.3579401969909668,0.34624719619750977,0.0,0.220800352608,1406.5167747
