0StdReturn,1MaxReturn,0Entropy,0AveragePolicyStd,1AverageReturn,0PolicyExecTime,LossBefore,1NumTrajs,0Perplexity,ItrTime,0AverageReturn,0ProcessExecTime,1MinReturn,1AveragePolicyStd,1ExplainedVariance,1ProcessExecTime,MeanKLBefore,0NumTrajs,LossAfter,dLoss,1Entropy,1StdReturn,MeanKL,0MinReturn,Time,0EnvExecTime,ComputeUpdatedDistTime,0MaxReturn,0ExplainedVariance,1Perplexity,1PolicyExecTime,1EnvExecTime
300.938347322,2900.0,2.65302,0.911793,589.666666667,17.04620909690857,3.43425199389e-09,1200,14.1968,73.11132740974426,91.6666666667,0.6560091972351074,0.0,0.90843,0.442325255572,0.5998528003692627,-1.86264437207e-09,1200,-0.00500547792763,0.00500548136188,2.64556,974.881132355,0.00889299996197,0.0,1038.8602249622345,14.893272638320923,0.07412123680114746,1800.0,0.0738946073949,14.0914,22.51982855796814,14.239601850509644
374.822031844,2800.0,2.65792,0.914162,516.916666667,16.638710737228394,-2.79396772385e-09,1200,14.2665,73.86010575294495,124.666666667,0.6516857147216797,0.0,0.911619,0.370947481815,0.6232166290283203,5.58793455951e-09,1200,-0.00529335765168,0.00529335485771,2.65233,883.254678102,0.0073164422065,0.0,1114.5531952381134,14.825687646865845,0.08017349243164062,2100.0,0.097229976616,14.187,23.343501329421997,14.67724609375
391.851871106,2900.0,2.62772,0.900373,593.0,16.987993717193604,1.45519152284e-09,1200,13.8421,73.93837094306946,137.666666667,0.6599926948547363,0.0,0.897157,0.392265923847,0.6183767318725586,-1.86264437207e-09,1200,-0.00487710768357,0.00487710913876,2.62047,910.16536959,0.0078295962885,0.0,1190.3605606555939,15.189800024032593,0.07439708709716797,2300.0,0.0923523673317,13.7422,22.779359817504883,14.4578218460083
392.053346356,2900.0,2.60045,0.888194,526.75,16.801491260528564,-1.7462298274e-10,1200,13.4699,73.66161370277405,134.916666667,0.6520910263061523,0.0,0.885881,0.375564859217,0.6264262199401855,5.58793766814e-09,1200,-0.00401056092232,0.0040105607477,2.59522,932.224635393,0.00908796768636,0.0,1266.046648979187,14.902942180633545,0.07313370704650879,2000.0,0.0938891109092,13.3995,22.96930193901062,14.591134309768677
389.194324499,2900.0,2.58765,0.882404,561.5,16.683199405670166,-9.31322574615e-10,1200,13.2985,73.99337029457092,133.333333333,0.6507554054260254,0.0,0.880776,0.396749223099,0.6310601234436035,-3.35276126862e-08,1200,-0.00451409537345,0.00451409444213,2.58386,947.849012238,0.00750715937465,0.0,1341.8662495613098,14.740717887878418,0.0741889476776123,2100.0,0.0727340272028,13.2482,23.343718767166138,14.77154278755188
386.311295029,2800.0,2.57608,0.877314,592.083333333,15.96288275718689,2.09547579288e-09,1200,13.1455,74.4006085395813,130.5,0.6546714305877686,0.0,0.876453,0.384569183166,0.636594295501709,0.0,1200,-0.00288916425779,0.00288916635327,2.5741,999.139125976,0.0077870702371,0.0,1418.2913539409637,14.885622501373291,0.07903003692626953,2300.0,0.0784536358602,13.1195,24.233649969100952,14.87693977355957
399.620992316,2900.0,2.53272,0.858576,487.166666667,15.67894983291626,2.56113708019e-09,1200,12.5877,73.36933326721191,135.75,0.6407384872436523,0.0,0.855503,0.315638089612,0.6287887096405029,-2.77555756156e-16,1200,-0.00375980115496,0.00375980371609,2.5255,892.394889547,0.00687079271302,0.0,1493.5128655433655,14.539228916168213,0.08290910720825195,2100.0,0.087276256497,12.4972,24.04175114631653,14.672368288040161
415.589808452,2900.0,2.50399,0.846359,617.0,15.763797760009766,1.97906047106e-09,1200,12.2312,73.81941533088684,148.666666667,0.6474499702453613,0.0,0.845219,0.405890149619,0.636559009552002,-1.49011558648e-08,1200,-0.00441529043019,0.00441529240925,2.50127,1009.62583829,0.00818647257984,0.0,1569.2970764636993,14.741268634796143,0.07441592216491699,2000.0,0.083697370862,12.198,24.128594398498535,14.827601432800293
434.743091441,2900.0,2.48613,0.83891,632.916666667,15.933526277542114,-7.56699591875e-10,1200,12.0147,73.56225752830505,164.666666667,0.6557471752166748,0.0,0.834981,0.402578943191,0.6269679069519043,-7.45057970875e-09,1200,-0.00322447204962,0.00322447129292,2.47675,1003.88818753,0.00755973067135,0.0,1644.5762107372284,14.825796365737915,0.09931802749633789,2000.0,0.0902679040273,11.9025,23.767127513885498,14.61574101448059
429.494203492,2900.0,2.42931,0.815291,717.083333333,15.98729944229126,-1.16415321827e-09,1200,11.351,73.07004261016846,154.25,0.6663236618041992,0.0,0.813128,0.435989951443,0.6110789775848389,3.72528896619e-09,1200,-0.00413782987744,0.00413782871328,2.42398,1064.44813231,0.00692179892212,0.0,1719.9944276809692,15.03702187538147,0.08170151710510254,2100.0,0.0953903456542,11.2907,23.40144395828247,14.295683145523071
