0NumTrajs,0ExplainedVariance,0EnvExecTime,MeanKLBefore,1PolicyExecTime,1EnvExecTime,1AveragePolicyStd,0AveragePolicyStd,0ProcessExecTime,ComputeUpdatedDistTime,1ProcessExecTime,0MinReturn,0StdReturn,1StdReturn,LossAfter,0Entropy,0Perplexity,dLoss,ItrTime,Time,1Entropy,1Perplexity,0AverageReturn,0MaxReturn,1MaxReturn,1AverageReturn,1NumTrajs,0PolicyExecTime,MeanKL,LossBefore,1MinReturn,1ExplainedVariance
2000,0.0779958380303,147.3106997013092,-5.5879310068e-09,251.08198595046997,146.7467737197876,0.944787,0.945535,5.968327760696411,0.2764472961425781,5.933638334274292,0.0,7361.04075097,8172.01074644,-0.00170769752003,2.72548,15.2637,0.0017076978329,733.5105032920837,9994.593739271164,2.72389,15.2395,3776.25,23500.0,23300.0,4800.6,2000,153.1559612751007,0.00682844035327,3.1286617741e-10,0.0,0.100660514646
2000,0.0608291788145,146.80585885047913,9.31321575415e-10,250.64155387878418,146.81412720680237,0.938602,0.939604,5.967810392379761,0.2473297119140625,5.843689203262329,0.0,6959.28660837,8762.19170285,-0.00179257371929,2.7128,15.0714,0.00179257353011,732.7449176311493,10731.71782708168,2.71065,15.0391,3439.05,23400.0,23200.0,5521.25,2000,153.50855135917664,0.00655939383432,-1.89174897969e-10,0.0,0.128669296112
2000,0.0651952495842,146.11989974975586,-4.65660665583e-09,251.3225917816162,145.79056024551392,0.932787,0.933458,5.947403430938721,0.26409435272216797,5.795888185501099,0.0,7307.37754448,8806.50378854,-0.0017560365377,2.69988,14.8779,0.00175603633761,730.6800565719604,11466.74483370781,2.69843,14.8563,3751.85,23300.0,23300.0,5632.65,2000,152.48174023628235,0.00804582145065,-2.0008883439e-10,0.0,0.125112741004
2000,0.0676661418948,146.5091381072998,9.31319632524e-10,250.77891945838928,146.85094690322876,0.927377,0.928599,5.961190938949585,0.253434419631958,5.885432481765747,0.0,7439.32926664,8720.2347983,-0.00246436521411,2.68944,14.7234,0.00246436463203,732.0086827278137,12202.933020830154,2.68681,14.6848,3809.75,23300.0,23300.0,5452.25,2000,152.78845691680908,0.0068217786029,-5.82076609135e-10,0.0,0.119245822893
2000,0.0554747986546,147.97053742408752,2.42144082563e-08,250.9053189754486,147.14493465423584,0.925766,0.926292,6.022424221038818,0.2682828903198242,5.9056127071380615,0.0,7555.00340023,9275.66043457,-0.00148288253695,2.68437,14.649,0.00148288111086,734.4478449821472,12941.716514587402,2.68322,14.6321,4005.35,23500.0,23400.0,6035.05,2000,153.0231420993805,0.00648223189637,-1.42608769238e-09,0.0,0.139898286066
2000,0.0605913259198,146.90080165863037,2.08166817117e-17,253.27300214767456,147.8990454673767,0.915769,0.916031,5.949138164520264,0.2670722007751465,5.878004550933838,0.0,7415.66389998,9025.58251292,-0.00217317696661,2.66196,14.3243,0.00217317655915,735.7780358791351,13681.813424348831,2.66137,14.3159,3754.35,23500.0,23600.0,5649.45,2000,152.92245411872864,0.00646801106632,-4.07453626394e-10,0.0,0.128552586918
2000,0.0621161466445,147.1599361896515,1.86264315083e-09,249.99628710746765,147.5246000289917,0.911237,0.910781,5.939678192138672,0.2533712387084961,5.921330213546753,0.0,7627.09987987,9293.70573547,-0.00104453822132,2.65038,14.1594,0.00104453755193,732.323757648468,14418.295184373856,2.65141,14.174,3959.35,23300.0,23500.0,5884.55,2000,152.37249994277954,0.00762052927166,-6.69388100505e-10,0.0,0.124352105194
2000,0.0541529507938,148.04970407485962,-5.58793056271e-09,250.7640769481659,146.80330634117126,0.897359,0.898104,5.987843990325928,0.25634169578552246,5.875417232513428,0.0,7757.9658157,9376.69050145,-0.00150862755254,2.62253,13.7705,0.00150862929877,733.785986661911,15156.21136045456,2.62085,13.7474,4054.05,23400.0,23800.0,5921.8,2000,153.2982897758484,0.00985987391323,1.7462298274e-09,0.0,0.122848125671
2000,0.0622912244777,146.6684603691101,0.0,251.0354745388031,147.34287190437317,0.885868,0.886087,5.932189702987671,0.3534078598022461,5.88588285446167,0.0,7891.6277901,9512.57754121,-0.00112118944526,2.59568,13.4057,0.00112118911056,734.4959173202515,15894.925680398941,2.59518,13.399,4178.65,23600.0,23800.0,6057.65,2000,154.223623752594,0.00768349692225,-3.34694050252e-10,0.0,0.107954931058
2000,0.0592356333789,147.15163326263428,-3.72528519144e-09,242.32456731796265,146.9499707221985,0.883963,0.884043,5.991413831710815,0.27959132194519043,5.864488840103149,0.0,7678.88113578,9657.4420991,-0.00142036564648,2.59088,13.3415,0.0014203658211,732.6027462482452,16631.827826976776,2.59067,13.3387,3932.55,23500.0,23600.0,6461.05,2000,161.09729766845703,0.00745529960841,1.7462298274e-10,0.0,0.141136444962
2000,0.0617270029178,148.59953451156616,-1.30385116037e-08,242.0242531299591,147.06234908103943,0.867518,0.86857,5.989959478378296,0.29257798194885254,5.850515365600586,0.0,7748.08044357,9538.6029741,-0.00211683521047,2.55545,12.877,0.0021168352323,735.3299679756165,17371.354035377502,2.55295,12.845,3921.2,23600.0,23600.0,6180.55,2000,162.76662397384644,0.0094179911539,2.18278728426e-11,0.0,0.128459951379
2000,0.0582978881229,147.35435342788696,0.0,245.64536690711975,147.95295405387878,0.850682,0.851211,5.923953533172607,0.2494354248046875,5.856929302215576,0.0,8365.35958582,10016.5793642,-0.00142338313162,2.51466,12.3624,0.00142338270234,737.8048522472382,18113.426795244217,2.51341,12.347,4433.0,23600.0,23800.0,6852.8,2000,161.9646120071411,0.00894793495536,-4.29281499237e-10,0.0,0.138409734378
2000,0.0519042110223,147.60718846321106,-3.72528474735e-09,242.37081360816956,147.97733759880066,0.842522,0.843355,6.005867004394531,0.2665746212005615,5.859151840209961,0.0,9035.7673891,9660.92835912,-0.00244456436485,2.496,12.1339,0.00244456360815,732.8307945728302,18850.290569782257,2.49406,12.1103,5036.3,23800.0,24000.0,6148.2,2000,160.01294374465942,0.00705172121525,-7.56699591875e-10,0.0,0.0768515101589
2000,0.0480974913429,147.23466610908508,2.77555756156e-17,242.3808994293213,147.95930647850037,0.832651,0.833634,5.9489898681640625,0.29106926918029785,5.94110894203186,0.0,9207.03654603,9852.7844388,-0.00111708487384,2.47264,11.8537,0.00111708539771,734.3715629577637,19588.683724164963,2.47027,11.8256,5120.2,23800.0,23700.0,6198.05,2000,161.85334038734436,0.00536023033783,5.23868948221e-10,0.0,0.0702127495135
2000,0.050219666576,148.24591422080994,3.72528496939e-09,242.4057605266571,147.70208978652954,0.827092,0.827398,6.041476726531982,0.27541446685791016,5.7783989906311035,0.0,9138.60965301,9966.36546076,-0.001272757072,2.45794,11.6807,0.00127275681007,735.4765787124634,20328.346928834915,2.45715,11.6715,4901.9,23900.0,23900.0,6382.55,2000,162.2207489013672,0.00812916085124,-2.61934474111e-10,0.0,0.089921033506
2000,0.0556299485856,150.01222777366638,-3.72528519144e-09,242.841055393219,148.07973170280457,0.806428,0.806274,6.054118633270264,0.26776957511901855,5.878708600997925,0.0,9298.93853674,10064.3290525,-0.00188326579519,2.40655,11.0956,0.00188326556236,741.4308271408081,21073.656977415085,2.40694,11.0999,5054.7,24100.0,23900.0,6488.35,2000,165.27604150772095,0.00768321473151,-2.32830643654e-10,0.0,0.0943701517119
2000,0.0500279319301,148.18042612075806,3.72528519144e-09,242.99113416671753,148.50872540473938,0.800685,0.801031,6.0085670948028564,0.26623034477233887,5.849172830581665,0.0,9499.36678929,10036.4726272,-0.00137317506596,2.39316,10.948,0.00137317474582,736.1612350940704,21814.1580183506,2.39229,10.9385,5296.05,24000.0,24000.0,6417.95,2000,161.33919143676758,0.00914087798446,-3.20142135024e-10,0.0,0.0731345325134
