ExplainedVariance,ItrTime,MinReturn,StdReturn,MaxReturn,LossBefore,MeanKL,Entropy,AverageReturn,LossAfter,NumTrajs,Perplexity,Time,MaxKL,AveragePolicyStd,TotalExecTime
0.994739138498,23.435813426971436,2300.0,117.575507654,3000.0,0.00329191,0.137195,1.94211,2674.0,-0.00983058,200,6.97343,857.0404763221741,0.822891,0.639152,23.31354069709778
0.994460314269,23.408656358718872,2200.0,120.331832862,2900.0,0.00269951,0.156945,1.94375,2670.5,-0.00961096,200,6.98491,880.4543290138245,1.55364,0.639682,23.23731827735901
0.994772087729,23.49414610862732,2300.0,120.0,3000.0,0.00821561,0.0696905,1.9451,2680.0,0.00289217,200,6.99435,903.9519419670105,0.574149,0.640071,23.390963077545166
0.994627072599,23.17516279220581,2300.0,119.489539291,3000.0,-0.0123128,0.028374,1.94921,2683.5,-0.0177769,200,7.02314,927.1308798789978,0.228753,0.641411,23.099898099899292
0.994476896053,23.13160514831543,2400.0,113.683771929,3000.0,0.00498845,0.0878916,1.94305,2676.0,-0.00725125,200,6.98004,950.2794342041016,1.24955,0.639362,23.020211696624756
0.995612293023,25.270623922348022,2400.0,106.488262264,3000.0,-0.0131999,0.0319074,1.94555,2689.5,-0.0162094,200,6.99747,975.5585458278656,0.395547,0.640152,25.1658673286438
0.995068117026,24.728569984436035,2300.0,111.838052558,2900.0,0.0018507,0.0362044,1.93895,2681.5,-0.00233213,200,6.95144,1000.2910511493683,0.397539,0.638042,24.66703987121582
0.994715064524,24.858072757720947,2300.0,115.497835478,3000.0,-0.0159294,0.349632,1.93987,2689.5,-0.0391108,200,6.95788,1025.1561510562897,2.65565,0.638351,24.749748945236206
0.995152198892,24.14357352256775,2400.0,112.356575242,2900.0,0.00686989,0.0327066,1.93191,2676.0,0.00126966,200,6.90268,1049.306172132492,0.277571,0.63582,23.9619197845459
0.995279158081,27.50362801551819,2400.0,111.102430216,2900.0,0.000152518,0.10567,1.93534,2677.5,-0.00937263,200,6.92643,1076.8185482025146,0.969853,0.636904,27.397942066192627
0.994095150927,26.13257360458374,2200.0,122.979673117,2900.0,-0.0098423,0.081429,1.93542,2674.0,-0.0208222,200,6.92696,1102.9691088199615,0.711666,0.636915,26.019038677215576
