0AveragePolicyStd,0Perplexity,0EnvExecTime,1MaxReturn,0ProcessExecTime,1PolicyExecTime,Time,LossBefore,1ExplainedVariance,MeanKLBefore,0NumTrajs,1MinReturn,0Entropy,1ProcessExecTime,1Perplexity,0ExplainedVariance,0StdReturn,1EnvExecTime,1AveragePolicyStd,MeanKL,dLoss,LossAfter,ComputeUpdatedDistTime,0MaxReturn,ItrTime,1Entropy,1NumTrajs,0PolicyExecTime,1StdReturn,0AverageReturn,0MinReturn,1AverageReturn
0.894455,13.6565,17.624635934829712,2700.0,0.6525185108184814,29.629302978515625,1533.1211807727814,3.78349795938e-10,0.186541082804,-2.98023365986e-08,1200,0.0,2.61421,0.7362234592437744,13.5423,0.107615775942,581.523376572,20.236992359161377,0.890673,0.00797644723207,0.00444607148529,-0.00444607110694,0.10039901733398438,2800.0,89.85275506973267,2.60582,1200,17.381503105163574,775.332182394,229.25,0.0,389.916666667
0.888818,13.4859,19.572619915008545,2800.0,0.7387568950653076,31.777859449386597,1635.2819566726685,1.2805685401e-09,0.136836356584,-1.38777878078e-16,1200,0.0,2.60164,0.7156198024749756,13.4774,0.0954754340313,546.244654182,19.870378494262695,0.888532,0.00720260757953,0.00454335322138,-0.00454335194081,0.10693097114562988,2500.0,99.78352546691895,2.60101,1200,23.39419174194336,755.122782511,200.333333333,0.0,382.5
0.880015,13.2135,19.635084867477417,2800.0,0.755744218826294,37.40168738365173,1744.2387356758118,0.0,0.201533651658,3.72528896619e-09,1200,0.0,2.58124,0.7290530204772949,13.1709,0.0915759766317,553.138614082,20.08318066596985,0.878597,3.72528896619e-09,1.22236087918e-09,-1.22236087918e-09,0.0981292724609375,2700.0,107.04669404029846,2.57801,1200,24.211345195770264,802.974984909,212.083333333,0.0,423.583333333
0.880015,13.2135,19.89805793762207,2800.0,0.7593474388122559,33.476295471191406,1849.1639921665192,-2.32830643654e-10,0.18339474301,-3.72528896619e-09,1200,0.0,2.58124,0.7216513156890869,13.1564,0.0734335562894,550.843891729,19.930899620056152,0.878172,0.00736251240596,0.00490635423921,-0.00490635447204,0.08739542961120605,2600.0,102.15497016906738,2.57691,1200,23.587944746017456,768.962486442,207.916666667,0.0,393.166666667
0.87833,13.1631,19.764047622680664,2800.0,0.7366580963134766,38.911757469177246,1959.2072277069092,-4.65661287308e-10,0.13207739999,-5.58792834227e-09,1200,0.0,2.57742,0.7300539016723633,13.057,0.0827818999484,537.888870958,20.369372129440308,0.874928,0.00880840979517,0.00759784318507,-0.00759784365073,0.09749412536621094,2500.0,107.98493671417236,2.56933,1200,23.708953857421875,754.749733171,200.75,0.0,378.916666667
0.870242,12.9147,20.994675636291504,2800.0,0.7972500324249268,38.94749665260315,2073.954078435898,-4.13274392486e-09,0.250031853768,-3.72528963233e-09,1200,0.0,2.55837,0.7770278453826904,12.8138,0.0858494425002,552.90284459,21.293756008148193,0.866813,0.00780463125557,0.00394934188807,-0.00394934602082,0.14725160598754883,2700.0,112.59709048271179,2.55052,1200,25.773608684539795,880.425638856,214.666666667,0.0,525.833333333
0.859772,12.6105,21.983190536499023,2800.0,0.8430368900299072,52.432225465774536,2212.1678285598755,9.31322574615e-10,0.200443018647,-1.8626444831e-09,1200,0.0,2.53453,0.8670003414154053,12.5985,0.0781908586546,547.422743154,23.620094299316406,0.859236,0.00756644736975,0.00745855737478,-0.00745855644345,0.10298633575439453,2700.0,135.48212337493896,2.53358,1200,31.451277494430542,835.346884035,215.916666667,0.0,453.5
0.850945,12.3535,22.585596561431885,2800.0,0.8847179412841797,53.09559106826782,2358.5512795448303,-4.65661287308e-09,0.127385710048,-3.72528874415e-09,1200,0.0,2.51394,0.8927934169769287,12.3385,0.0825839823846,568.89034288,23.90566110610962,0.850466,0.00915386714041,0.0106275277212,-0.0106275323778,0.10622024536132812,2700.0,144.20482087135315,2.51272,1200,38.5384259223938,703.934952014,227.333333333,0.0,331.5
0.842997,12.1201,22.730501651763916,2800.0,0.8707370758056641,55.98138761520386,2508.9461228847504,3.08500602841e-09,0.188986311448,4.33680868994e-17,1200,0.0,2.49487,0.8417580127716064,12.0097,0.100532399341,603.510419453,23.163432598114014,0.839113,0.00716862408444,0.00481404253514,-0.00481403945014,0.10111045837402344,2600.0,147.5465977191925,2.48572,1200,39.719889640808105,850.209283876,239.583333333,0.0,465.083333333
0.835918,11.9183,22.839912176132202,2800.0,0.8775596618652344,50.932668685913086,2653.974619626999,-1.86264514923e-09,0.18472333061,-3.72528874415e-09,1200,0.0,2.47807,0.8601102828979492,11.8431,0.100746208981,617.774140677,23.05894947052002,0.833329,3.72528896619e-09,-5.82076609135e-10,-1.2805685401e-09,0.10508108139038086,2600.0,142.8151822090149,2.47175,1200,37.43821954727173,900.23172557,245.333333333,0.0,506.416666667
0.835918,11.9183,22.57337784767151,2900.0,0.8816466331481934,58.49803948402405,2807.7657995224,-3.14321368933e-09,0.18887611259,3.72528874415e-09,1200,0.0,2.47807,0.8933994770050049,11.8672,0.110833130573,645.615549302,24.376460075378418,0.834074,0.00777798006311,0.00447681976948,-0.00447682291269,0.09311342239379883,2700.0,150.97545647621155,2.47378,1200,38.33356213569641,853.508929687,270.75,0.0,480.916666667
