0Perplexity,1Entropy,0EnvExecTime,0MinReturn,Time,1Perplexity,ComputeUpdatedDistTime,0PolicyExecTime,ItrTime,dLoss,1ProcessExecTime,LossBefore,MeanKL,0MaxReturn,1AverageReturn,0ProcessExecTime,1NumTrajs,0ExplainedVariance,0NumTrajs,1StdReturn,1PolicyExecTime,0AveragePolicyStd,1AveragePolicyStd,1ExplainedVariance,0StdReturn,0AverageReturn,0Entropy,1EnvExecTime,MeanKLBefore,1MinReturn,LossAfter,1MaxReturn
13.483,2.60101,12.44529104232788,0.0,1150.1166219711304,13.4773,0.30814695358276367,2.8940072059631348,44.65801239013672,0.00899595967494,0.32614874839782715,-7.91624210628e-10,0.00907389353961,2900.0,1289.0,0.33550381660461426,400,0.043297412927,400,1419.25297252,12.51767635345459,0.889077,0.889294,0.152301864887,411.669694658,198.25,2.60143,13.02662706375122,7.4505784875e-10,0.0,-0.00899596046656,6600.0
13.3409,2.58841,12.317875623703003,0.0,1195.5113444328308,13.3085,0.3320596218109131,2.681666374206543,43.96772575378418,0.00973675481509,0.3398861885070801,8.149073083e-10,0.00865061488003,3900.0,1170.25,0.35822248458862305,400,0.0459678512437,400,1232.83816355,11.645448684692383,0.884236,0.883349,0.182425573,638.247405008,359.5,2.59083,12.538398027420044,-2.42143949336e-09,0.0,-0.00973675400019,6300.0
13.3566,2.59619,12.199096441268921,0.0,1240.0340912342072,13.4125,0.34481143951416016,2.6571640968322754,44.511521100997925,0.0080290724407,0.347780704498291,2.68919420066e-09,0.0066426335834,3100.0,1057.5,0.3669731616973877,400,0.0395075869921,400,932.62733715,12.553714036941528,0.884849,0.886725,0.149307132527,515.631651472,268.0,2.59201,12.954200744628906,1.11758668986e-09,0.0,-0.0080290697515,5400.0
13.4679,2.60335,11.976531505584717,0.0,1284.80943441391,13.5089,0.35412049293518066,2.5605530738830566,43.780393838882446,0.00864293450722,0.3343312740325928,2.44472220245e-10,0.00889136176556,2300.0,1136.25,0.33408522605895996,400,0.0209294182637,400,1222.76773653,12.189430475234985,0.889159,0.890678,0.225182998501,303.690220455,116.5,2.60031,12.571382999420166,1.86264531576e-10,0.0,-0.00864293426275,5300.0
13.2536,2.5847,12.261075735092163,0.0,1328.4087462425232,13.2594,0.3464477062225342,2.6266531944274902,43.59034037590027,0.00850413568551,0.3133835792541504,-1.71130520865e-09,0.00933475699276,3200.0,1358.5,0.34906673431396484,400,0.0344722089728,400,1483.41759124,11.303804636001587,0.881829,0.882219,0.214675348106,535.848859288,246.0,2.58427,12.294269561767578,6.93889390391e-18,0.0,-0.00850413739681,6200.0
13.1205,2.57784,12.238216638565063,0.0,1373.388932466507,13.1687,0.37375926971435547,2.9002509117126465,43.84731936454773,0.00842865350423,0.31647396087646484,-1.12922871054e-09,0.00862743705511,3200.0,1015.25,0.33820557594299316,400,0.0467340696575,400,1237.29238157,12.01485800743103,0.877436,0.879198,0.10814781669,574.953856844,285.75,2.57417,12.295138597488403,7.45058237328e-10,0.0,-0.00842865463346,6000.0
13.0551,2.57492,11.995855569839478,0.0,1416.568912744522,13.1302,0.2935206890106201,2.5274100303649902,43.17215037345886,0.00903637114679,0.3582170009613037,2.45636333496e-09,0.00736161787063,3300.0,1649.5,0.3401830196380615,400,0.0439571438633,400,1615.93618376,11.788714170455933,0.875078,0.877636,0.196187939368,511.077293567,290.0,2.56918,12.459187269210815,3.74700270811e-16,0.0,-0.00903636869043,6800.0
12.9715,2.57459,12.295652627944946,0.0,1461.290658712387,13.1259,0.35621070861816406,2.901738166809082,43.62990665435791,0.00933976129163,0.3264455795288086,-1.55996526807e-09,0.00786643009633,1600.0,1248.0,0.3345160484313965,400,0.034941553914,400,1630.68881151,11.62821102142334,0.872433,0.877756,0.194655185749,246.023245853,117.25,2.56276,12.399478912353516,-1.00582786544e-08,0.0,-0.0093397628516,6500.0
12.9385,2.5632,12.17422866821289,0.0,1506.202052116394,12.9773,0.40713024139404297,3.2960073947906494,44.9027361869812,0.00902656894177,0.3216581344604492,3.3527611798e-09,0.00895209703594,3800.0,1395.25,0.33987998962402344,400,0.0392607720723,400,1273.48044253,12.360444068908691,0.871262,0.8727,0.152307668467,589.183704374,325.25,2.56021,12.809177875518799,-7.45058292839e-10,0.0,-0.00902656558901,5800.0
13.1424,2.56453,12.107988834381104,0.0,1550.5079138278961,12.9946,0.3630509376525879,2.8891854286193848,43.26417303085327,0.00996060437756,0.32045865058898926,-4.17931023122e-09,0.00993436947465,3000.0,1644.5,0.34111857414245605,400,0.0479907797345,400,1563.22415219,11.804869890213013,0.878076,0.873053,0.212027360998,542.860709575,323.5,2.57584,12.39958906173706,8.19563883425e-09,0.0,-0.00996060855687,6200.0
