MaxKL,Entropy,ItrTime,TotalExecTime,LossBefore,ExplainedVariance,MeanKL,StdReturn,LossAfter,MaxReturn,Time,AveragePolicyStd,AverageReturn,MinReturn,NumTrajs,Perplexity
0.370112,2.35599,25.559072017669678,25.40203619003296,-0.00347868,0.994839629036,0.0511499,118.523204479,-0.0117954,2900.0,887.5965332984924,0.785911,2673.5,2300.0,200,10.5486
0.0359572,2.35425,24.648651838302612,24.551665544509888,0.00180672,0.993745165493,0.00723068,125.848122751,9.34079e-05,2900.0,912.2490692138672,0.785229,2671.5,2200.0,200,10.5303
0.270949,2.35516,25.19579792022705,24.94753360748291,0.00118477,0.994568304679,0.0583568,125.534855717,-0.00725732,3000.0,937.4595608711243,0.785561,2679.0,2400.0,200,10.5398
0.112417,2.35575,27.12071180343628,26.823211431503296,-0.00202456,0.995266937025,0.00869362,108.050913925,-0.00544779,3000.0,964.5862777233124,0.785802,2675.0,2400.0,200,10.546
0.209182,2.35474,27.69158959388733,27.440433979034424,-0.00946903,0.994752328071,0.0301327,129.498069484,-0.014078,3000.0,992.2930252552032,0.785396,2680.5,2300.0,200,10.5354
0.023075,2.35,26.67229437828064,26.33613610267639,-0.0120523,0.995189693437,0.00262198,112.066944279,-0.0129568,2900.0,1018.9700584411621,0.783542,2679.0,2400.0,200,10.4856
0.0346287,2.34398,28.649344205856323,28.51519465446472,-0.00947676,0.994334173983,0.00692715,126.861144564,-0.0124033,3000.0,1047.6278450489044,0.78118,2667.5,2300.0,200,10.4226
0.0973891,2.33924,25.51202368736267,25.31921148300171,-0.0048197,0.995234074613,0.00949097,113.444920556,-0.00704465,3000.0,1073.1478343009949,0.779345,2680.5,2400.0,200,10.3733
0.0763561,2.33683,27.932409524917603,27.738373041152954,-0.0237097,0.994031311785,0.0139958,129.707362937,-0.0269628,3000.0,1101.0843224525452,0.778436,2674.0,2200.0,200,10.3484
0.22488,2.32497,26.815468311309814,26.62737464904785,0.0177934,0.994922364271,0.0277629,113.026545555,0.0127711,3000.0,1127.906687259674,0.773852,2685.0,2300.0,200,10.2264
