0StdReturn,MeanKL,ItrTime,LossBefore,0NumTrajs,0AveragePolicyStd,0AverageReturn,ComputeUpdatedDistTime,dLoss,1Entropy,0PolicyExecTime,0Entropy,0ExplainedVariance,0EnvExecTime,1ExplainedVariance,MeanKLBefore,1AverageReturn,0ProcessExecTime,0MinReturn,0Perplexity,1MinReturn,1Perplexity,1NumTrajs,1EnvExecTime,1AveragePolicyStd,LossAfter,Time,1StdReturn,1PolicyExecTime,0MaxReturn,1ProcessExecTime,1MaxReturn
439.658319039,0.00595930917189,48.36560368537903,-4.1036400944e-09,800,0.875902,213.25,0.06857514381408691,0.00582894179388,2.57488,10.765361309051514,2.57131,0.480785001531,9.18488883972168,0.790542762737,-1.86264537128e-09,1229.5,0.4464757442474365,0.0,13.083,0.0,13.1297,800,9.140973091125488,0.877451,-0.00582894589752,1083.5794928073883,939.017971074,16.286376476287842,1900.0,0.4063851833343506,2900.0
438.320658879,0.00868089962751,49.5210165977478,2.63025867753e-09,800,0.870599,195.0,0.0742042064666748,0.00572018774619,2.54772,10.053767919540405,2.55882,0.119027151599,9.71969485282898,0.434447695608,3.72528763393e-09,819.5,0.45514750480651855,0.0,12.9206,0.0,12.7779,800,9.780193328857422,0.866,-0.00572018511593,1134.5798251628876,1012.11153042,16.69374442100525,2100.0,0.43489742279052734,2800.0
433.335608968,0.00954133458436,49.807366132736206,0.0,800,0.854488,195.5,0.07331132888793945,0.00729524809867,2.5142,10.980786085128784,2.52142,0.34932563905,9.870473623275757,0.592207302948,-3.72529074255e-09,998.875,0.4514188766479492,0.0,12.4462,0.0,12.3568,800,9.548822402954102,0.851498,-0.00729524809867,1185.618575811386,1012.63825445,15.537013292312622,1900.0,0.42127442359924316,2800.0
214.044935411,0.00736558157951,49.74937200546265,0.0,800,0.843393,46.875,0.06853652000427246,0.00614544562995,2.49829,10.575450658798218,2.49469,0.107524182562,10.094428062438965,0.27536752181,5.58793589178e-09,238.5,0.467517614364624,0.0,12.118,0.0,12.1617,800,9.670384645462036,0.84486,-0.00614544562995,1236.4864127635956,618.459982537,16.36229133605957,1800.0,0.4479715824127197,2700.0
376.878606948,0.00670621916652,48.59666180610657,-9.60426405072e-10,800,0.843043,143.875,0.07937097549438477,0.00708102431963,2.489,10.502411603927612,2.49452,0.127807095615,9.570717811584473,0.484184390748,-1.86264415003e-09,929.125,0.4711618423461914,0.0,12.116,0.0,12.0492,800,9.019982814788818,0.840833,-0.00708102528006,1286.811363697052,1027.49171986,16.23885416984558,2000.0,0.40703392028808594,2800.0
317.075873215,0.00942442473024,48.7670111656189,-2.79396772385e-09,800,0.831714,100.625,0.09840536117553711,0.00895013939589,2.46544,11.108912706375122,2.46787,0.221020377919,9.169662475585938,0.501875101118,3.72529074255e-09,729.75,0.43023061752319336,0.0,11.7972,0.0,11.7687,800,9.031386613845825,0.830807,-0.00895014218986,1336.849924325943,1015.04430322,16.43856406211853,1800.0,0.4102654457092285,2900.0
261.36361166,0.00730264978483,47.89542198181152,1.16415321827e-09,800,0.820477,56.25,0.09869623184204102,0.00690203183331,2.44171,10.232337236404419,2.44046,0.0950802952277,9.431049823760986,0.383099749903,7.43849426499e-15,330.75,0.4211094379425049,0.0,11.4783,0.0,11.4927,800,9.12405776977539,0.82114,-0.00690203066915,1386.1736114025116,750.685977956,15.993309259414673,2100.0,0.39513349533081055,2700.0
418.749328358,0.00846376270056,47.9450147151947,-5.7480065152e-09,800,0.818274,168.0,0.09596037864685059,0.00778336294752,2.43261,11.37995433807373,2.43563,0.185413216925,9.07120394706726,0.541455717152,3.72529029846e-09,1118.75,0.4127461910247803,0.0,11.4231,0.0,11.3885,800,9.190764904022217,0.817096,-0.00778336869553,1435.1898455619812,1033.44009865,15.327807664871216,2000.0,0.39832019805908203,2900.0
383.454181585,0.00677035236731,48.33233404159546,-6.98491930962e-10,800,0.802605,139.375,0.07078957557678223,0.00585965695791,2.38205,10.8326096534729,2.39542,0.192119250724,9.36158037185669,0.510442568752,-1.49011594175e-08,799.875,0.4264562129974365,0.0,10.9728,0.0,10.827,800,8.96126675605774,0.797137,-0.0058596576564,1485.1491420269012,1034.2086271,16.215025424957275,2200.0,0.3921473026275635,2900.0
380.961591732,0.00849620159715,46.71778059005737,1.16415321827e-09,800,0.791188,160.875,0.06937003135681152,0.00550252455287,2.36344,10.23437237739563,2.36587,0.303609827793,9.37323784828186,0.635657533921,3.72529029846e-09,830.5,0.41595888137817383,0.0,10.6533,0.0,10.6274,800,9.028799295425415,0.790342,-0.00550252338871,1533.1922943592072,1072.75101958,15.159659385681152,2000.0,0.38580846786499023,2800.0
