ItrTime,0AveragePolicyStd,0ProcessExecTime,1ProcessExecTime,1AveragePolicyStd,LossBefore,0MinReturn,0ExplainedVariance,1MinReturn,0MaxReturn,1EnvExecTime,0Perplexity,ComputeUpdatedDistTime,MeanKL,dLoss,1PolicyExecTime,1AverageReturn,0StdReturn,0Entropy,MeanKLBefore,1MaxReturn,1Perplexity,0AverageReturn,1StdReturn,0EnvExecTime,1Entropy,Time,LossAfter,1NumTrajs,1ExplainedVariance,0PolicyExecTime,0NumTrajs
69.77172183990479,1.03932,0.3174285888671875,0.3191208839416504,1.03974,-1.42608769238e-09,0.0,0.0515611844607,0.0,1000.0,28.492071866989136,18.4483,0.2915492057800293,0.00637557404116,0.00581101558055,11.235013246536255,234.5,168.712773672,2.91497,-5.02914421219e-09,2300.0,18.46,94.0,393.903224155,24.42178440093994,2.91561,1063.5547904968262,-0.00581101700664,400,0.084105318701,1.781085729598999,400
72.60628080368042,1.03883,0.3157060146331787,0.3487405776977539,1.03781,-6.75208944312e-10,0.0,0.0501302367924,0.0,1300.0,29.805577754974365,18.4298,0.30744361877441406,0.00656496547163,0.00498314599972,11.615896701812744,293.5,199.998593745,2.91397,-1.11758673427e-08,5500.0,18.3913,113.25,673.021359245,25.352826595306396,2.91188,1136.819772720337,-0.00498314667493,400,0.0706884793819,2.060439348220825,400
69.06731033325195,1.0413,0.308290958404541,0.31259608268737793,1.04112,-4.88944329469e-10,0.0,0.04250175594,0.0,2700.0,28.104151487350464,18.5121,0.3053603172302246,0.00670151598752,0.00594244149979,11.280900001525879,252.5,267.734826834,2.91843,2.4680046895e-09,2600.0,18.5,141.75,465.557461545,24.447387218475342,2.91777,1205.892832994461,-0.00594244198874,400,0.0806828923292,1.7140979766845703,400
72.78433990478516,1.0428,0.2981436252593994,0.33609795570373535,1.04105,-1.11758713395e-09,0.0,0.0598706697168,0.0,1000.0,30.437586307525635,18.5617,0.7354135513305664,0.00956195499748,0.00646917410195,11.444536685943604,150.5,185.101154778,2.9211,9.77889991205e-10,1500.0,18.4956,112.75,255.244490636,24.822275638580322,2.91753,1279.3033368587494,-0.00646917521954,400,0.0678675401246,2.066669225692749,400
66.25369906425476,1.03407,0.3027527332305908,0.306668758392334,1.03315,1.46683309943e-09,0.0,0.0558378967756,0.0,1200.0,26.569344758987427,18.2554,0.3050873279571533,0.00926154572517,0.00697874005418,10.310539245605469,267.5,223.118662375,2.90446,-1.39698266843e-10,2800.0,18.2216,141.75,459.503808472,24.317699193954468,2.90261,1345.563970565796,-0.00697873858735,400,0.0921244340621,1.6855707168579102,400
60.34641242027283,1.02294,0.30277347564697266,0.25438666343688965,1.02114,3.95812049803e-10,0.0,0.060330607308,0.0,1100.0,22.591156005859375,17.867,0.2980501651763916,0.00951090082526,0.00625416024122,8.816429376602173,166.5,191.111060643,2.88295,-4.65661065263e-10,1500.0,17.8017,121.25,268.286693669,23.81879687309265,2.87929,1406.6443252563477,-0.00625415984541,400,0.0692391946202,1.7151782512664795,400
60.52208185195923,1.02404,0.29398322105407715,0.2699599266052246,1.02188,6.75208888801e-10,0.0,0.0781544113701,0.0,1700.0,23.6348295211792,17.9068,0.32094693183898926,0.00648211594671,0.00607665230054,9.272539854049683,179.75,249.689682406,2.88518,8.14907086255e-10,1300.0,17.8301,160.25,255.176287104,22.81272554397583,2.88089,1467.1715831756592,-0.00607665162534,400,0.0762476263675,1.4933054447174072,400
68.88056111335754,1.02395,0.29618215560913086,0.3063695430755615,1.02454,-5.06406583334e-10,0.0,0.0712800108773,0.0,1100.0,28.550235509872437,17.9028,0.2976524829864502,0.00960710085928,0.00677006361657,10.710798025131226,162.5,201.851430513,2.88496,7.21775139656e-10,1700.0,17.921,134.0,256.307920283,24.569936513900757,2.88597,1536.7686970233917,-0.00677006412297,400,0.0646994641844,1.676257610321045,400
72.14645981788635,1.02155,0.2969827651977539,0.31210947036743164,1.01822,6.98491930962e-10,0.0,0.0576486097065,0.0,1400.0,29.902559757232666,17.8197,0.302203893661499,0.00959251262248,0.0070944360923,11.39975643157959,125.5,207.146687157,2.88031,6.50761844412e-09,1500.0,17.7017,134.5,210.35624545,25.617710828781128,2.87366,1608.9205985069275,-0.00709443539381,400,0.0567150249036,1.7428290843963623,400
69.71435499191284,1.01393,0.291154146194458,0.31372690200805664,1.01293,1.30385158226e-09,0.0,0.0701175613763,0.0,1300.0,29.093434810638428,17.5561,0.31319117546081543,0.00650510424748,0.00581135451794,10.935153245925903,207.5,236.484671808,2.8654,-1.18743603839e-09,1600.0,17.5195,165.0,283.97843228,24.453128814697266,2.86331,1679.3981728553772,-0.00581135321409,400,0.0870516678781,1.7504539489746094,400
