0MaxReturn,0ExplainedVariance,LossBefore,0Entropy,1Perplexity,1ProcessExecTime,0AverageReturn,1MaxReturn,0ProcessExecTime,LossAfter,0Perplexity,0EnvExecTime,1Entropy,0MinReturn,1StdReturn,1ExplainedVariance,1NumTrajs,ComputeUpdatedDistTime,1MinReturn,dLoss,ItrTime,1EnvExecTime,0NumTrajs,1PolicyExecTime,0StdReturn,MeanKLBefore,1AveragePolicyStd,0PolicyExecTime,MeanKL,1AverageReturn,Time,0AveragePolicyStd
16300.0,0.0874259443153,-1.23691279441e-09,2.66454,14.351,6.592479467391968,1260.05,23600.0,6.66818380355835,-0.0048383846879,14.3613,159.6955008506775,2.66382,0.0,10371.9988912,0.463669583951,2000,0.2570054531097412,0.0,0.00483838345099,903.3077385425568,161.83256125450134,2000,322.40028977394104,2991.54792666,1.86264259572e-09,0.916659,221.89792394638062,0.00765461614355,9943.0,12047.822956323624,0.916987
15400.0,0.0864546926511,5.82076609135e-10,2.66162,14.3056,6.635179042816162,1098.2,23800.0,6.643290758132935,-0.00475761480629,14.3194,160.81061816215515,2.66065,0.0,9350.78745561,0.387907697132,2000,0.2546381950378418,0.0,0.00475761538837,905.1099979877472,162.4198019504547,2000,324.9561026096344,2701.45456375,0.0,0.915204,219.41890859603882,0.00736299110577,6541.4,12957.60949754715,0.915649
13900.0,0.0563892404448,5.82076609135e-10,2.65678,14.2485,6.59919285774231,1140.3,23800.0,6.700019121170044,-0.00185114121996,14.2504,159.79516458511353,2.65665,0.0,11213.352414,0.506423043225,2000,0.24478936195373535,0.0,0.00185114180204,893.395533323288,162.9192771911621,2000,312.896466255188,2561.71737512,-4.16333634234e-17,0.913389,220.14880466461182,0.006280280184,11104.2,13856.620594739914,0.913445
16700.0,0.0456983642055,-8.73114913702e-10,2.629,13.8405,6.592480897903442,1342.1,23800.0,6.721680641174316,-0.0016759627033,13.8599,159.33488154411316,2.6276,0.0,11161.6789229,0.492476493631,2000,0.2514302730560303,0.0,0.00167596183019,903.5418119430542,162.359126329422,2000,321.16728687286377,2753.47373149,0.0,0.900299,223.0120666027069,0.00682812510058,10982.15,14765.441548109055,0.900939
15800.0,0.0881582212734,8.14907252789e-10,2.60501,13.5756,6.595991849899292,710.3,23800.0,6.685928106307983,-0.00295496778563,13.5314,160.3225016593933,2.60827,0.0,11092.3897114,0.552684449215,2000,0.2528998851776123,0.0,0.00295496860053,901.7967021465302,161.32036638259888,2000,320.0469410419464,1928.6559854,-1.86264226265e-09,0.891739,222.73676204681396,0.00699844770133,10999.3,15672.501630306244,0.89028
9500.0,0.097962094443,1.45519152284e-10,2.58995,13.3364,6.719402313232422,737.45,23900.0,6.725784778594971,-0.00423843832687,13.3291,161.57049679756165,2.59049,0.0,10540.0896766,0.506491531568,2000,0.2525479793548584,0.0,0.00423843847238,913.7263541221619,163.1535246372223,2000,326.4628291130066,1890.55348972,-3.72528408121e-09,0.8839,224.92164373397827,0.00707760220394,10196.9,16590.993515968323,0.883669
10600.0,0.103948970286,-9.74978320301e-10,2.56152,12.9526,6.945825815200806,651.85,23900.0,6.700636625289917,-0.00354266166687,12.9555,161.4586853981018,2.5613,0.0,11041.6659557,0.550241283377,2000,0.2582094669342041,0.0,0.00354266069189,947.8697967529297,168.8724663257599,2000,354.15520095825195,1784.85757905,-3.72528763393e-09,0.871182,225.3861620426178,0.00827691890299,10925.65,17543.576521635056,0.871292
8100.0,0.121240090481,-3.05590219796e-09,2.54364,12.7185,6.749817132949829,574.0,24000.0,6.744155168533325,-0.00539595726877,12.726,160.29689836502075,2.54305,0.0,9609.18808212,0.486143233478,2000,0.26604294776916504,0.0,0.00539595421287,926.7124619483948,163.7353539466858,2000,336.2547833919525,1690.04852001,1.8626424847e-09,0.863581,228.44310426712036,0.00722418818623,8265.95,18475.58211493492,0.863853
9200.0,0.109223304698,-2.85217538476e-09,2.5254,12.506,7.087870359420776,595.25,24000.0,6.742989540100098,-0.00377773796208,12.496,162.28681659698486,2.52621,0.0,10853.3515606,0.540482356796,2000,0.2595493793487549,0.0,0.00377773510991,963.2496910095215,171.2769832611084,2000,361.0286910533905,1690.39120842,1.86264226265e-09,0.856414,230.42323279380798,0.00715921260417,10626.55,19444.007937908173,0.856086
9500.0,0.128112897152,0.0,2.49957,12.1758,6.479427099227905,425.65,24000.0,6.50556492805481,-0.00613037496805,12.1772,154.1917335987091,2.49945,0.0,10253.9461862,0.555182031336,2000,0.25070738792419434,0.0,0.00613037496805,848.4084672927856,157.15884923934937,2000,299.93357014656067,1429.19105703,0.0,0.845279,200.35950231552124,0.00895305257291,9681.9,20297.134984731674,0.845322
9000.0,0.113635828547,-8.44011083245e-10,2.48239,11.9895,6.328144788742065,490.15,24100.0,6.473933458328247,-0.0038916519843,11.9698,156.3922815322876,2.48403,0.0,10583.409711,0.540480133228,2000,0.28885793685913086,0.0,0.00389165114029,844.3538177013397,155.25799345970154,2000,292.7492368221283,1475.83128355,1.86264226265e-09,0.839025,203.38738989830017,0.00717471633106,10008.3,21145.931530714035,0.838333
